tools initialized
{'loss': 2.4175, 'learning_rate': 1.999805535952325e-05, 'epoch': 0.01}
{'loss': 2.2883, 'learning_rate': 1.9996106798400377e-05, 'epoch': 0.02}
{'loss': 2.2417, 'learning_rate': 1.9994162157923627e-05, 'epoch': 0.03}
{'loss': 2.2231, 'learning_rate': 1.9992209676154634e-05, 'epoch': 0.04}
{'loss': 2.2194, 'learning_rate': 1.999026503567788e-05, 'epoch': 0.05}
{'loss': 2.2268, 'learning_rate': 1.9988316474555006e-05, 'epoch': 0.06}
{'loss': 2.3025, 'learning_rate': 1.9986363992786014e-05, 'epoch': 0.07}
{'loss': 2.7304, 'learning_rate': 1.9984403669724773e-05, 'epoch': 0.08}
{'loss': 3.5109, 'learning_rate': 1.9982443346663532e-05, 'epoch': 0.09}
{'loss': 4.2693, 'learning_rate': 1.9980490864894537e-05, 'epoch': 0.1}
{'loss': 4.4567, 'learning_rate': 1.9978534462479418e-05, 'epoch': 0.11}
{'loss': 4.3819, 'learning_rate': 1.9976574139418177e-05, 'epoch': 0.12}
{'loss': 4.2867, 'learning_rate': 1.997462165764918e-05, 'epoch': 0.13}
{'loss': 4.2057, 'learning_rate': 1.9972665255234067e-05, 'epoch': 0.14}
{'loss': 4.1772, 'learning_rate': 1.9970704932172826e-05, 'epoch': 0.15}
{'loss': 4.1272, 'learning_rate': 1.9968748529757707e-05, 'epoch': 0.16}
{'loss': 4.0761, 'learning_rate': 1.996679604798871e-05, 'epoch': 0.17}
{'loss': 4.0732, 'learning_rate': 1.996483572492747e-05, 'epoch': 0.18}
{'loss': 4.0824, 'learning_rate': 1.9962879322512353e-05, 'epoch': 0.19}
{'loss': 4.062, 'learning_rate': 1.9960918999451112e-05, 'epoch': 0.2}
{'loss': 4.0745, 'learning_rate': 1.995895867638987e-05, 'epoch': 0.21}
{'loss': 4.0372, 'learning_rate': 1.995699835332863e-05, 'epoch': 0.22}
{'loss': 4.0514, 'learning_rate': 1.9955041950913512e-05, 'epoch': 0.23}
{'loss': 4.076, 'learning_rate': 1.995308162785227e-05, 'epoch': 0.24}
{'loss': 4.0588, 'learning_rate': 1.9951140908021646e-05, 'epoch': 0.25}
{'loss': 4.0508, 'learning_rate': 1.9949184505606524e-05, 'epoch': 0.25}
{'loss': 4.0852, 'learning_rate': 1.9947232023837532e-05, 'epoch': 0.26}
{'loss': 4.0821, 'learning_rate': 1.994528346271466e-05, 'epoch': 0.27}
{'loss': 4.0715, 'learning_rate': 1.9943323139653418e-05, 'epoch': 0.28}
{'loss': 4.0786, 'learning_rate': 1.9941362816592177e-05, 'epoch': 0.29}
{'loss': 4.072, 'learning_rate': 1.993940641417706e-05, 'epoch': 0.3}
{'loss': 4.0919, 'learning_rate': 1.9937446091115818e-05, 'epoch': 0.31}
{'loss': 4.0854, 'learning_rate': 1.99354896887007e-05, 'epoch': 0.32}
{'loss': 4.0786, 'learning_rate': 1.993352936563946e-05, 'epoch': 0.33}
{'loss': 4.0864, 'learning_rate': 1.993157296322434e-05, 'epoch': 0.34}
{'loss': 4.0824, 'learning_rate': 1.9929616560809225e-05, 'epoch': 0.35}
{'loss': 4.0776, 'learning_rate': 1.9927660158394104e-05, 'epoch': 0.36}
{'loss': 4.074, 'learning_rate': 1.9925699835332863e-05, 'epoch': 0.37}
{'loss': 4.1029, 'learning_rate': 1.992374735356387e-05, 'epoch': 0.38}
{'loss': 4.0631, 'learning_rate': 1.992178703050263e-05, 'epoch': 0.39}
{'loss': 4.085, 'learning_rate': 1.991982670744139e-05, 'epoch': 0.4}
{'loss': 4.0807, 'learning_rate': 1.9917866384380148e-05, 'epoch': 0.41}
{'loss': 4.0622, 'learning_rate': 1.991590998196503e-05, 'epoch': 0.42}
{'loss': 4.0605, 'learning_rate': 1.9913957500196034e-05, 'epoch': 0.43}
{'loss': 4.0597, 'learning_rate': 1.9911997177134793e-05, 'epoch': 0.44}
{'loss': 4.0646, 'learning_rate': 1.9910036854073552e-05, 'epoch': 0.45}
{'loss': 4.0652, 'learning_rate': 1.9908084372304556e-05, 'epoch': 0.46}
{'loss': 4.0453, 'learning_rate': 1.9906127969889438e-05, 'epoch': 0.47}
{'loss': 4.0989, 'learning_rate': 1.9904167646828197e-05, 'epoch': 0.48}
{'loss': 4.0759, 'learning_rate': 1.9902211244413082e-05, 'epoch': 0.49}
{'loss': 4.0907, 'learning_rate': 1.990025092135184e-05, 'epoch': 0.5}
{'loss': 4.0717, 'learning_rate': 1.98982905982906e-05, 'epoch': 0.51}
{'loss': 4.0665, 'learning_rate': 1.989633027522936e-05, 'epoch': 0.52}
{'loss': 4.0185, 'learning_rate': 1.989436995216812e-05, 'epoch': 0.53}
{'loss': 4.0697, 'learning_rate': 1.9892409629106878e-05, 'epoch': 0.54}
{'loss': 4.0854, 'learning_rate': 1.9890449306045637e-05, 'epoch': 0.55}
{'loss': 4.0598, 'learning_rate': 1.9888492903630522e-05, 'epoch': 0.56}
{'loss': 4.0977, 'learning_rate': 1.9886532580569278e-05, 'epoch': 0.57}
{'loss': 4.047, 'learning_rate': 1.9884576178154163e-05, 'epoch': 0.58}
{'loss': 4.0893, 'learning_rate': 1.9882623696385167e-05, 'epoch': 0.59}
{'loss': 4.07, 'learning_rate': 1.9880663373323927e-05, 'epoch': 0.6}
{'loss': 4.0566, 'learning_rate': 1.9878703050262686e-05, 'epoch': 0.61}
{'loss': 4.0784, 'learning_rate': 1.9876742727201445e-05, 'epoch': 0.62}
{'loss': 4.0756, 'learning_rate': 1.9874782404140204e-05, 'epoch': 0.63}
{'loss': 4.0628, 'learning_rate': 1.9872822081078963e-05, 'epoch': 0.64}
{'loss': 4.0328, 'learning_rate': 1.9870865678663845e-05, 'epoch': 0.65}
{'loss': 4.0689, 'learning_rate': 1.9868909276248727e-05, 'epoch': 0.66}
{'loss': 4.07, 'learning_rate': 1.986695679447973e-05, 'epoch': 0.67}
{'loss': 4.0819, 'learning_rate': 1.986499647141849e-05, 'epoch': 0.68}
{'loss': 4.0625, 'learning_rate': 1.9863040069003375e-05, 'epoch': 0.69}
{'loss': 4.036, 'learning_rate': 1.9861083666588254e-05, 'epoch': 0.7}
{'loss': 4.068, 'learning_rate': 1.9859123343527016e-05, 'epoch': 0.71}
{'loss': 4.0437, 'learning_rate': 1.9857163020465775e-05, 'epoch': 0.72}
{'loss': 4.0635, 'learning_rate': 1.9855202697404534e-05, 'epoch': 0.73}
{'loss': 4.0766, 'learning_rate': 1.9853246294989416e-05, 'epoch': 0.74}
{'loss': 4.0651, 'learning_rate': 1.9851289892574298e-05, 'epoch': 0.74}
{'loss': 4.044, 'learning_rate': 1.9849329569513057e-05, 'epoch': 0.75}
{'loss': 4.0719, 'learning_rate': 1.984737316709794e-05, 'epoch': 0.76}
{'loss': 4.0501, 'learning_rate': 1.9845412844036698e-05, 'epoch': 0.77}
{'loss': 4.0683, 'learning_rate': 1.9843460362267702e-05, 'epoch': 0.78}
{'loss': 4.0753, 'learning_rate': 1.984150003920646e-05, 'epoch': 0.79}
{'loss': 4.0873, 'learning_rate': 1.983953971614522e-05, 'epoch': 0.8}
{'loss': 4.0842, 'learning_rate': 1.9837583313730106e-05, 'epoch': 0.81}
{'loss': 4.0603, 'learning_rate': 1.9835622990668865e-05, 'epoch': 0.82}
{'loss': 4.0556, 'learning_rate': 1.9833662667607624e-05, 'epoch': 0.83}
{'loss': 4.0557, 'learning_rate': 1.9831702344546383e-05, 'epoch': 0.84}
{'loss': 4.0726, 'learning_rate': 1.9829745942131265e-05, 'epoch': 0.85}
{'loss': 4.0716, 'learning_rate': 1.9827785619070024e-05, 'epoch': 0.86}
{'loss': 4.0514, 'learning_rate': 1.9825825296008787e-05, 'epoch': 0.87}
{'loss': 4.0772, 'learning_rate': 1.9823864972947546e-05, 'epoch': 0.88}
{'loss': 4.0798, 'learning_rate': 1.9821904649886305e-05, 'epoch': 0.89}
{'loss': 4.0593, 'learning_rate': 1.9819948247471187e-05, 'epoch': 0.9}
{'loss': 4.0796, 'learning_rate': 1.981799576570219e-05, 'epoch': 0.91}
{'loss': 4.0398, 'learning_rate': 1.981603544264095e-05, 'epoch': 0.92}
{'loss': 4.0376, 'learning_rate': 1.981407511957971e-05, 'epoch': 0.93}
{'loss': 4.0384, 'learning_rate': 1.981211479651847e-05, 'epoch': 0.94}
{'loss': 4.0656, 'learning_rate': 1.9810154473457228e-05, 'epoch': 0.95}
{'loss': 4.0767, 'learning_rate': 1.980819807104211e-05, 'epoch': 0.96}
{'loss': 4.0442, 'learning_rate': 1.980623774798087e-05, 'epoch': 0.97}
{'loss': 4.0622, 'learning_rate': 1.9804277424919628e-05, 'epoch': 0.98}
{'loss': 4.0699, 'learning_rate': 1.9802317101858387e-05, 'epoch': 0.99}
{'loss': 4.051, 'learning_rate': 1.9800360699443272e-05, 'epoch': 1.0}
{'eval_loss': 3.365176200866699, 'eval_rouge1': 0.1866, 'eval_rouge2': 0.0436, 'eval_rougeL': 0.1534, 'eval_rougeLsum': 0.1533, 'eval_gen_len': 18.9831, 'eval_runtime': 1349.6317, 'eval_samples_per_second': 8.396, 'eval_steps_per_second': 2.099, 'epoch': 1.0}
{'loss': 4.0511, 'learning_rate': 1.979840429702815e-05, 'epoch': 1.01}
{'loss': 4.0403, 'learning_rate': 1.9796443973966913e-05, 'epoch': 1.02}
{'loss': 4.0447, 'learning_rate': 1.9794483650905672e-05, 'epoch': 1.03}
{'loss': 4.0273, 'learning_rate': 1.979252332784443e-05, 'epoch': 1.04}
{'loss': 4.0419, 'learning_rate': 1.979056300478319e-05, 'epoch': 1.05}
{'loss': 4.0677, 'learning_rate': 1.978860268172195e-05, 'epoch': 1.06}
{'loss': 4.0624, 'learning_rate': 1.978664235866071e-05, 'epoch': 1.07}
{'loss': 4.0649, 'learning_rate': 1.978468595624559e-05, 'epoch': 1.08}
{'loss': 4.0216, 'learning_rate': 1.978272563318435e-05, 'epoch': 1.09}
{'loss': 4.0691, 'learning_rate': 1.978076923076923e-05, 'epoch': 1.1}
{'loss': 4.083, 'learning_rate': 1.9778812828354116e-05, 'epoch': 1.11}
{'loss': 4.0651, 'learning_rate': 1.9776856425938998e-05, 'epoch': 1.12}
{'loss': 4.0552, 'learning_rate': 1.9774900023523876e-05, 'epoch': 1.13}
{'loss': 4.0682, 'learning_rate': 1.977293970046264e-05, 'epoch': 1.14}
{'loss': 4.0457, 'learning_rate': 1.9770979377401398e-05, 'epoch': 1.15}
{'loss': 4.0638, 'learning_rate': 1.976902297498628e-05, 'epoch': 1.16}
{'loss': 4.0493, 'learning_rate': 1.976706265192504e-05, 'epoch': 1.17}
{'loss': 4.0795, 'learning_rate': 1.9765102328863798e-05, 'epoch': 1.18}
{'loss': 4.05, 'learning_rate': 1.9763142005802557e-05, 'epoch': 1.19}
{'loss': 4.0635, 'learning_rate': 1.9761181682741317e-05, 'epoch': 1.2}
{'loss': 4.0502, 'learning_rate': 1.9759221359680076e-05, 'epoch': 1.21}
{'loss': 4.0559, 'learning_rate': 1.9757261036618835e-05, 'epoch': 1.22}
{'loss': 4.045, 'learning_rate': 1.9755300713557597e-05, 'epoch': 1.23}
{'loss': 4.0619, 'learning_rate': 1.9753352152434724e-05, 'epoch': 1.24}
{'loss': 4.0463, 'learning_rate': 1.9751395750019602e-05, 'epoch': 1.24}
{'loss': 4.0845, 'learning_rate': 1.974944326825061e-05, 'epoch': 1.25}
{'loss': 4.0752, 'learning_rate': 1.9747490786481614e-05, 'epoch': 1.26}
{'loss': 4.0262, 'learning_rate': 1.9745534384066496e-05, 'epoch': 1.27}
{'loss': 4.03, 'learning_rate': 1.9743574061005255e-05, 'epoch': 1.28}
{'loss': 4.0383, 'learning_rate': 1.9741617658590137e-05, 'epoch': 1.29}
{'loss': 4.0371, 'learning_rate': 1.9739657335528896e-05, 'epoch': 1.3}
{'loss': 4.0516, 'learning_rate': 1.9737697012467655e-05, 'epoch': 1.31}
{'loss': 4.029, 'learning_rate': 1.9735740610052537e-05, 'epoch': 1.32}
{'loss': 4.0567, 'learning_rate': 1.9733784207637422e-05, 'epoch': 1.33}
{'loss': 4.0524, 'learning_rate': 1.973182388457618e-05, 'epoch': 1.34}
{'loss': 4.0215, 'learning_rate': 1.972986356151494e-05, 'epoch': 1.35}
{'loss': 4.0614, 'learning_rate': 1.97279032384537e-05, 'epoch': 1.36}
{'loss': 4.0398, 'learning_rate': 1.972594291539246e-05, 'epoch': 1.37}
{'loss': 4.0334, 'learning_rate': 1.972398651297734e-05, 'epoch': 1.38}
{'loss': 4.0458, 'learning_rate': 1.97220261899161e-05, 'epoch': 1.39}
{'loss': 4.051, 'learning_rate': 1.972006586685486e-05, 'epoch': 1.4}
{'loss': 4.0592, 'learning_rate': 1.971810554379362e-05, 'epoch': 1.41}
{'loss': 4.0235, 'learning_rate': 1.97161491413785e-05, 'epoch': 1.42}
{'loss': 4.0349, 'learning_rate': 1.9714188818317262e-05, 'epoch': 1.43}
{'loss': 4.066, 'learning_rate': 1.971223241590214e-05, 'epoch': 1.44}
{'loss': 4.0533, 'learning_rate': 1.9710276013487025e-05, 'epoch': 1.45}
{'loss': 4.0526, 'learning_rate': 1.9708315690425785e-05, 'epoch': 1.46}
{'loss': 4.0422, 'learning_rate': 1.9706355367364544e-05, 'epoch': 1.47}
{'loss': 4.0314, 'learning_rate': 1.9704395044303303e-05, 'epoch': 1.48}
{'loss': 4.033, 'learning_rate': 1.9702434721242062e-05, 'epoch': 1.49}
{'loss': 4.0314, 'learning_rate': 1.970047439818082e-05, 'epoch': 1.5}
{'loss': 4.0606, 'learning_rate': 1.9698517995765703e-05, 'epoch': 1.51}
{'loss': 4.0381, 'learning_rate': 1.9696557672704462e-05, 'epoch': 1.52}
{'loss': 4.0499, 'learning_rate': 1.969459734964322e-05, 'epoch': 1.53}
{'loss': 4.0226, 'learning_rate': 1.969263702658198e-05, 'epoch': 1.54}
{'loss': 4.0831, 'learning_rate': 1.969067670352074e-05, 'epoch': 1.55}
{'loss': 4.0174, 'learning_rate': 1.96887163804595e-05, 'epoch': 1.56}
{'loss': 4.026, 'learning_rate': 1.968675605739826e-05, 'epoch': 1.57}
{'loss': 4.0229, 'learning_rate': 1.9684803575629266e-05, 'epoch': 1.58}
{'loss': 4.0314, 'learning_rate': 1.9682843252568025e-05, 'epoch': 1.59}
{'loss': 4.0725, 'learning_rate': 1.9680886850152907e-05, 'epoch': 1.6}
{'loss': 4.0628, 'learning_rate': 1.967893044773779e-05, 'epoch': 1.61}
{'loss': 4.0304, 'learning_rate': 1.9676970124676548e-05, 'epoch': 1.62}
{'loss': 4.0507, 'learning_rate': 1.9675009801615307e-05, 'epoch': 1.63}
{'loss': 4.0498, 'learning_rate': 1.9673049478554066e-05, 'epoch': 1.64}
{'loss': 4.0216, 'learning_rate': 1.9671089155492825e-05, 'epoch': 1.65}
{'loss': 4.0271, 'learning_rate': 1.9669128832431584e-05, 'epoch': 1.66}
{'loss': 4.0393, 'learning_rate': 1.9667168509370347e-05, 'epoch': 1.67}
{'loss': 4.0211, 'learning_rate': 1.9665208186309106e-05, 'epoch': 1.68}
{'loss': 4.037, 'learning_rate': 1.9663247863247865e-05, 'epoch': 1.69}
{'loss': 4.0525, 'learning_rate': 1.9661287540186624e-05, 'epoch': 1.7}
{'loss': 3.995, 'learning_rate': 1.9659331137771506e-05, 'epoch': 1.71}
{'loss': 4.0258, 'learning_rate': 1.965737865600251e-05, 'epoch': 1.72}
{'loss': 4.0427, 'learning_rate': 1.965541833294127e-05, 'epoch': 1.73}
{'loss': 4.0075, 'learning_rate': 1.965346193052615e-05, 'epoch': 1.73}
{'loss': 4.0431, 'learning_rate': 1.965150160746491e-05, 'epoch': 1.74}
{'loss': 4.0182, 'learning_rate': 1.9649545205049792e-05, 'epoch': 1.75}
{'loss': 4.0274, 'learning_rate': 1.964758488198855e-05, 'epoch': 1.76}
{'loss': 4.0351, 'learning_rate': 1.9645628479573436e-05, 'epoch': 1.77}
{'loss': 4.0056, 'learning_rate': 1.9643668156512195e-05, 'epoch': 1.78}
{'loss': 4.0573, 'learning_rate': 1.9641707833450955e-05, 'epoch': 1.79}
